2009-11-06 00:11:47 Notice: Notice (8): Undefined variable: infoLogado in [/Applications/MAMP/htdocs/ponto/app/views/layouts/default.ctp, line 41]
2009-11-06 00:11:47 Notice: Notice (8): Undefined variable: infoLogado in [/Applications/MAMP/htdocs/ponto/app/views/layouts/default.ctp, line 45]
2009-11-06 00:17:01 Notice: Notice (8): Undefined variable: funcionario_id in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 62]
2009-11-06 00:17:01 Notice: Notice (8): Undefined variable: infoLogado in [/Applications/MAMP/htdocs/ponto/app/views/layouts/default.ctp, line 41]
2009-11-06 00:17:01 Notice: Notice (8): Undefined variable: infoLogado in [/Applications/MAMP/htdocs/ponto/app/views/layouts/default.ctp, line 45]
2009-11-06 00:22:03 Notice: Notice (8): Undefined variable: infoLogado in [/Applications/MAMP/htdocs/ponto/app/views/layouts/default.ctp, line 41]
2009-11-06 00:22:03 Notice: Notice (8): Undefined variable: infoLogado in [/Applications/MAMP/htdocs/ponto/app/views/layouts/default.ctp, line 45]
2009-11-06 00:22:32 Notice: Notice (8): Undefined variable: funcionario_id in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 62]
2009-11-06 00:22:33 Notice: Notice (8): Undefined index:  Funcionario in [/Applications/MAMP/htdocs/ponto/app/views/pontos/dia.ctp, line 75]
2009-11-06 00:23:05 Notice: Notice (8): Undefined index:  Funcionario in [/Applications/MAMP/htdocs/ponto/app/views/pontos/dia.ctp, line 75]
2009-11-06 00:23:59 Notice: Notice (8): Undefined index:  Funcionario in [/Applications/MAMP/htdocs/ponto/app/views/pontos/dia.ctp, line 75]
2009-11-06 00:24:47 Notice: Notice (8): Undefined index:  Funcionario in [/Applications/MAMP/htdocs/ponto/app/views/pontos/dia.ctp, line 75]
2009-11-06 00:25:06 Notice: Notice (8): Undefined variable: entrada in [/Applications/MAMP/htdocs/ponto/app/views/pontos/dia.ctp, line 80]
